time_iso8601,forks_cumulative
2024-08-20 00:00:00+00:00,1
2024-08-30 00:00:00+00:00,2
2024-09-09 00:00:00+00:00,3
2024-10-27 00:00:00+00:00,4
2024-10-31 00:00:00+00:00,5
