MUSE_ROI_Index,MUSE_ROI_Name
142,M0_mfg_middle_frontal_gyrus_R
143,M0_mfg_middle_frontal_gyrus_L
144,M0_mog_middle_occipital_gyrus_R
145,M0_mog_middle_occipital_gyrus_L
146,M0_morg_medial_orbital_gyrus_R
147,M0_morg_medial_orbital_gyrus_L
148,M0_mpog_postcentral_gyrus_medial_segment_R
149,M0_mpog_postcentral_gyrus_medial_segment_L
150,M0_mprg_precentral_gyrus_medial_segment_R
151,M0_mprg_precentral_gyrus_medial_segment_L
152,M0_msfg_superior_frontal_gyrus_medial_segment_R
153,M0_msfg_superior_frontal_gyrus_medial_segment_L
154,M0_mtg_middle_temporal_gyrus_R
155,M0_mtg_middle_temporal_gyrus_L
156,M0_ocp_occipital_pole_R
157,M0_ocp_occipital_pole_L
160,M0_ofug_occipital_fusiform_gyrus_R
161,M0_ofug_occipital_fusiform_gyrus_L
162,M0_opifg_opercular_part_of_the_inferior_frontal_gyrus_R
163,M0_opifg_opercular_part_of_the_inferior_frontal_gyrus_L
164,M0_orifg_orbital_part_of_the_inferior_frontal_gyrus_R
165,M0_orifg_orbital_part_of_the_inferior_frontal_gyrus_L
166,M0_pcgg_posterior_cingulate_gyrus_R
167,M0_pcgg_posterior_cingulate_gyrus_L
168,M0_pcu_precuneus_R
169,M0_pcu_precuneus_L
170,M0_phg_parahippocampal_gyrus_R
171,M0_phg_parahippocampal_gyrus_L
172,M0_pins_posterior_insula_R
173,M0_pins_posterior_insula_L
174,M0_po_parietal_operculum_R
175,M0_po_parietal_operculum_L
176,M0_pog_postcentral_gyrus_R
177,M0_pog_postcentral_gyrus_L
178,M0_porg_posterior_orbital_gyrus_R
179,M0_porg_posterior_orbital_gyrus_L
180,M0_pp_planum_polare_R
181,M0_pp_planum_polare_L
182,M0_prg_precentral_gyrus_R
183,M0_prg_precentral_gyrus_L
184,M0_pt_planum_temporale_R
185,M0_pt_planum_temporale_L
186,M0_sca_subcallosal_area_R
187,M0_sca_subcallosal_area_L
190,M0_sfg_superior_frontal_gyrus_R
191,M0_sfg_superior_frontal_gyrus_L
192,M0_smc_supplementary_motor_cortex_R
193,M0_smc_supplementary_motor_cortex_L
194,M0_smg_supramarginal_gyrus_R
195,M0_smg_supramarginal_gyrus_L
196,M0_sog_superior_occipital_gyrus_R
197,M0_sog_superior_occipital_gyrus_L
198,M0_spl_superior_parietal_Lobule_R
199,M0_spl_superior_parietal_Lobule_L
200,M0_stg_superior_temporal_gyrus_R
201,M0_stg_superior_temporal_gyrus_L
202,M0_tmp_temporal_pole_R
203,M0_tmp_temporal_pole_L
204,M0_trifg_triangular_part_of_the_inferior_frontal_gyrus_R
205,M0_trifg_triangular_part_of_the_inferior_frontal_gyrus_L
206,M0_ttg_transverse_temporal_gyrus_R
207,M0_ttg_transverse_temporal_gyrus_L
