VarName,Age,centile_1,centile_2.5,centile_5,centile_10,centile_25,centile_50,centile_75,centile_95,centile_97.5,centile_99
CCL-NMF1,51.1423682409309,-0.272052175648578,-0.212920075525763,-0.162063207228272,-0.103428495152893,-0.0054524621596373,0.103406023661753,0.212264509483142,0.368875254551777,0.419732122849268,0.478864222972083
CCL-NMF1,52.1423682409309,-0.272079998831287,-0.212718618278673,-0.161664556162644,-0.102802492243548,-0.0044465642878611,0.104834012417575,0.214114589123011,0.371332580997793,0.422386643113823,0.481748023666436
CCL-NMF1,53.1423682409309,-0.272109985990339,-0.212518975009921,-0.161267418057758,-0.102177655240939,-0.0034412524107916,0.106262059503057,0.215965371416906,0.373791537063872,0.425043094016035,0.484634104996453
CCL-NMF1,54.1423682409309,-0.272144301102077,-0.212322959697843,-0.16087330587436,-0.101555150051802,-0.0024371125231357,0.107690223247859,0.217817559018854,0.376253752370078,0.427703406193562,0.487524747597796
CCL-NMF1,55.1423682409309,-0.272185062059822,-0.212132347522903,-0.160483700040949,-0.100936117274501,-0.0014347173819987,0.10911856180774,0.219671840997479,0.378720823656429,0.430369471138383,0.490422185675302
CCL-NMF1,56.1423682409309,-0.272232034435695,-0.211946935473168,-0.160098424565037,-0.10032041206824,-0.0004339741996938,0.110547110135603,0.221528194470899,0.381192644836243,0.433041155744373,0.4933262547069
CCL-NMF1,57.1423682409309,-0.272284523621708,-0.211766141655319,-0.159716994494141,-0.0997076612471058,0.0005653034526486,0.111975847159683,0.223386390866718,0.383668688813507,0.435717835974685,0.496236217941074
CCL-NMF1,58.1423682409309,-0.272342581560748,-0.211590016071049,-0.15933945816042,-0.0990979112183949,0.0015630723840973,0.113404733262665,0.225246394141233,0.38614892468575,0.43839948259638,0.499152048086078
CCL-NMF1,59.1423682409309,-0.272406314698454,-0.21141866459855,-0.158965920954028,-0.0984912668095845,0.0025592287073813,0.114833665601915,0.227108102496449,0.388633252157858,0.441085995802381,0.502073645902284
CCL-NMF1,60.1423682409309,-0.272475859361974,-0.211252224000488,-0.1585965200122,-0.0978878655897654,0.003553634131799,0.11626250508497,0.228971376038141,0.39112153018214,0.443777234170427,0.505000869531914
CCL-NMF1,61.1423682409309,-0.272551349310392,-0.211090829702927,-0.158231392194699,-0.0972878460716593,0.0045461473826056,0.117691107368276,0.230836067353946,0.39361360693125,0.446473044439479,0.507933564046945
CCL-NMF1,62.1423682409309,-0.272632915045667,-0.210934615196699,-0.15787067356295,-0.0966913472804253,0.0055366244823755,0.11911932297208,0.232702021461785,0.396109319507111,0.44917326114086,0.510871560989828
CCL-NMF1,63.1423682409309,-0.272720682261582,-0.210783708051529,-0.157514493300092,-0.0960985002593604,0.0065249312795643,0.12054701429135,0.234569097303135,0.398608521882791,0.451877736634229,0.513814710844282
CCL-NMF1,64.1423682409309,-0.272814767862885,-0.210638224527864,-0.157162967112436,-0.0955094200758974,0.0075109537742812,0.121974068512311,0.23643718325034,0.401111104137057,0.454586361552486,0.516762904887506
CCL-NMF1,65.1423682409309,-0.27291525908441,-0.210498249351046,-0.156816177567024,-0.0949241868086936,0.0084946160458483,0.123400414334102,0.238306212622355,0.403617006235227,0.457299078019249,0.519716087752613
CCL-NMF1,66.1423682409309,-0.27302212605969,-0.210363743626809,-0.156474078005186,-0.0943427448472178,0.0094759886629646,0.124826138945032,0.2401762892271,0.406126355895251,0.460016021516874,0.522674403949755
CCL-NMF1,67.1423682409309,-0.27313530424009,-0.210234632030494,-0.156136583834287,-0.0937649989134524,0.0104551847584526,0.12625137531591,0.242047565873367,0.408639334466106,0.462737382662314,0.525638054871909
CCL-NMF1,68.1423682409309,-0.273254684937027,-0.210110795337486,-0.15580356676814,-0.0931908102738016,0.0114323605230727,0.127676299033672,0.24392023754427,0.411156164835483,0.465463393404829,0.52860728300437
CCL-NMF1,69.1423682409309,-0.273380133771858,-0.209992088584726,-0.155474872740508,-0.0926200143666445,0.0124076980557707,0.129101111682505,0.245794525309239,0.413677096105517,0.468194311949735,0.531582357136868
CCL-NMF1,70.1423682409309,-0.273511445680844,-0.209878293397937,-0.155150271929317,-0.0920523681713308,0.0133814624314399,0.130526102841168,0.247670743250895,0.416202477611652,0.470930499080272,0.534563651363179
CCL-NMF1,71.1423682409309,-0.273648347308076,-0.209769120378562,-0.154829461138448,-0.0914875525840327,0.0143539993349887,0.131951647728079,0.24954929612117,0.418732756594606,0.473672415834721,0.537551642764235
CCL-NMF1,72.1423682409309,-0.273790633794481,-0.20966434862082,-0.154512205661062,-0.0909253169861824,0.0153255859727911,0.133378053090596,0.251430520208402,0.421268311842254,0.476420454802013,0.540546739975674
CCL-NMF1,73.1423682409309,-0.273938232343946,-0.209563889657954,-0.154198403552786,-0.0903655438945745,0.0162963657927575,0.134805491225302,0.253314616657846,0.423809386003389,0.479174872108557,0.54354921479455
CCL-NMF1,74.1423682409309,-0.274091165047799,-0.209467751400671,-0.153888050528213,-0.0898082149624628,0.0172663806375151,0.136234030080452,0.255201679523389,0.426356110689117,0.481935811561575,0.546559225208703
CCL-NMF1,75.1423682409309,-0.274249750938169,-0.209376244606844,-0.153581450228898,-0.0892536256267429,0.0182353487797939,0.137663403161167,0.25709145754254,0.428908256551231,0.484703050929178,0.549576557260503
CCL-NMF1,76.1423682409309,-0.274414371677909,-0.209289744432745,-0.153278972215092,-0.0887021389958155,0.0192029178919538,0.139093270118014,0.258983622344074,0.43146551245112,0.487476284668774,0.552600911913937
CCL-NMF1,77.1423682409309,-0.274585355712888,-0.209208576112593,-0.15298093895882,-0.088154074357071,0.020168774007989,0.140523322897432,0.260877871786875,0.434027584753684,0.490255221907458,0.555632001507752
CCL-NMF1,78.1423682409309,-0.274762999644898,-0.209133034786059,-0.152687644342247,-0.0876097241428508,0.0211326271181492,0.141953274181345,0.262773921244541,0.436594192704937,0.49303958314875,0.558669548007588
CCL-NMF1,79.1423682409309,-0.274947474004292,-0.209063292739778,-0.152399262162508,-0.0870692638917993,0.0220942987738042,0.143382942287918,0.264671585802032,0.439165146738344,0.495829177315614,0.561713358580128
CCL-NMF1,80.1423682409309,-0.275138834964447,-0.208999410859094,-0.152115857357498,-0.0865327632141451,0.0230537115574617,0.144812241125221,0.26657077069298,0.44174033960794,0.498623893109536,0.564763317214889
CCL-NMF1,81.1423682409309,-0.275337093123058,-0.208941404785539,-0.15183744990673,-0.0860002470908107,0.0240108321310611,0.146241128069807,0.268471424008552,0.444319706046343,0.501423660925153,0.567819349262671
CCL-NMF1,82.1423682409309,-0.275542188897968,-0.208889220289664,-0.151563990184376,-0.085471671203653,0.024965695943839,0.147669628716913,0.270373561489986,0.446903247618202,0.504228477723489,0.570881446331793
CCL-NMF1,83.1423682409309,-0.275754046565768,-0.208842786220216,-0.151295410971491,-0.0849469728674224,0.0259183581054358,0.149097789759128,0.27227722141282,0.449490990489746,0.507038365738472,0.573949626084023
CCL-NMF1,84.1423682409309,-0.275972560855939,-0.208801998849019,-0.151031609866396,-0.0844260512098114,0.0268689169326507,0.150525706673895,0.27418249641514,0.452083023214187,0.509853412196809,0.57702397420373
CCL-NMF1,85.1423682409309,-0.276197636387014,-0.208766763557439,-0.15077249290654,-0.0839088130246856,0.0278174643676756,0.151953469999076,0.276089475630476,0.454679432904692,0.512673703555591,0.580104576385166
CCL-NMF1,86.1423682409309,-0.276429292845501,-0.208737099554594,-0.150518078890458,-0.083395276637205,0.0287639828763399,0.153381063079345,0.277998143282351,0.457280205049148,0.515499225713284,0.583191419004191
CCL-NMF1,87.1423682409309,-0.27666759932742,-0.208713074873597,-0.150268434937102,-0.0828855081123551,0.0297084081547917,0.154808423567599,0.279908438980406,0.459885282072299,0.518329922008795,0.586284446462618
CCL-NMF1,88.1423682409309,-0.27691262591445,-0.208694757488105,-0.150023627207116,-0.0823795715204894,0.0306506796254594,0.156235494766999,0.281820309908539,0.462494616741114,0.521165747022104,0.589383615448449
CCL-NMF1,89.1423682409309,-0.277164442668264,-0.208682214465477,-0.149783720192581,-0.0818775283845618,0.0315907407266721,0.157662225628221,0.283733710529771,0.465108171449023,0.524006665721919,0.592488893924707
CCL-NMF1,90.1423682409309,-0.277423071894861,-0.208675464400007,-0.149548729295525,-0.0813793904261165,0.03252858588681,0.159088617412658,0.285648648938506,0.46772596412084,0.526852699225323,0.595600306720176
