VarName,Age,centile_1,centile_2.5,centile_5,centile_10,centile_25,centile_50,centile_75,centile_95,centile_97.5,centile_99
CCL-NMF1,54.9425051334702,-0.245811138572567,-0.191164642081026,-0.144165640367618,-0.0899788013909063,0.0005650306749419,0.101165801680163,0.201766572685383,0.346497243727942,0.393496245441351,0.448142741932892
CCL-NMF1,56.9425051334702,-0.246265443249423,-0.19068919004922,-0.142890546273667,-0.0877817712114908,0.0043025756301622,0.10661497039434,0.208927365158517,0.356120487062347,0.403919130837899,0.459495384038103
CCL-NMF1,58.9425051334702,-0.246820560789262,-0.190298733099454,-0.141686843097512,-0.0856404472197601,0.0080106228940032,0.112063760959298,0.216116899024593,0.365814365016108,0.41442625501805,0.470948082707858
CCL-NMF1,60.9425051334702,-0.247478814242631,-0.189995327050846,-0.1405563568245,-0.0835563904174453,0.0116880542407401,0.117511547105602,0.223335039970463,0.375579451035704,0.425018421262049,0.482501908453834
CCL-NMF1,62.9425051334702,-0.248243000517766,-0.189781498324607,-0.139501381242078,-0.0815316263801585,0.0153332922649731,0.122957249377495,0.230581206490017,0.385415879997067,0.435695997079597,0.494157499272756
CCL-NMF1,64.9425051334702,-0.249116005940598,-0.189659832082356,-0.13852424249394,-0.0795681826205202,0.0189448084535163,0.128399893686391,0.237854978919265,0.395324029866721,0.446459619455137,0.50591579331338
CCL-NMF1,66.9425051334702,-0.250100384361975,-0.189632533218531,-0.137626845352763,-0.0776676178900343,0.0225216222410725,0.133839141873845,0.245156661506618,0.405305129100454,0.457310816966221,0.517778668109665
CCL-NMF1,68.9425051334702,-0.251198172246391,-0.189701264356799,-0.136810530918478,-0.0758309025923543,0.0260633826412121,0.139275331170935,0.252487279700657,0.415361193260347,0.468251926698668,0.529748834588261
CCL-NMF1,70.9425051334702,-0.252411306545073,-0.189867596330905,-0.136076555143596,-0.0740589296421,0.0295698033597183,0.144708849282751,0.259847895205784,0.425494253709098,0.479285294896407,0.541829005110576
CCL-NMF1,72.9425051334702,-0.253742131060672,-0.190133527600027,-0.135426619472858,-0.0723530580453837,0.0330400975904092,0.150139545158778,0.267238992727147,0.435705709790414,0.490412617917582,0.554021221378228
CCL-NMF1,74.9425051334702,-0.255193998684599,-0.190502089102548,-0.134863477947283,-0.0707157225982985,0.0364723639814674,0.155566110142517,0.274659856303566,0.445995698232316,0.501634309387582,0.566326218969632
CCL-NMF1,76.9425051334702,-0.256770857753154,-0.190976932201517,-0.134390526516535,-0.0691500247752355,0.0398639931137706,0.160986481523972,0.282108969934173,0.456363489564479,0.512949895249461,0.578743820801098
CCL-NMF1,78.9425051334702,-0.258474852600181,-0.1915599205951,-0.134009387516621,-0.0676573086370877,0.0432141059119407,0.166400296860432,0.289586487808923,0.466809981237485,0.524360514315964,0.591275446321045
CCL-NMF1,80.9425051334702,-0.260305288509043,-0.192250085998233,-0.133718857378536,-0.0662360993475333,0.04652463048809,0.17180998788632,0.29709534528455,0.477338833151175,0.535870061770873,0.603925264281682
CCL-NMF1,82.9425051334702,-0.262261030957458,-0.193046026469688,-0.133517304166003,-0.0648844998007378,0.04979790703476,0.177218387095677,0.304638867156595,0.487954078357358,0.547482800661043,0.616697805148813
CCL-NMF1,84.9425051334702,-0.264342029213734,-0.193947418079139,-0.133404168982801,-0.0636016801998482,0.0530352180118793,0.182627279889974,0.312219341768069,0.498658728762749,0.559201977859087,0.629596588993682
CCL-NMF1,86.9425051334702,-0.266549929832927,-0.194955618690762,-0.133380561403022,-0.0623884638563918,0.0562362184401156,0.188036852751674,0.319837487063232,0.509454266906369,0.571029324194109,0.642623635336274
CCL-NMF1,88.9425051334702,-0.268887329886818,-0.196072899614915,-0.133448472564229,-0.0612465188866438,0.0593997799576042,0.193446577025248,0.327493374092893,0.520341626614726,0.582966053665412,0.655780483937315
CCL-NMF1,90.9425051334702,-0.271361721274007,-0.197305627154162,-0.133613300694301,-0.0601801273903664,0.0625234854657255,0.198856107763749,0.335188730061772,0.531325516221798,0.59501784268166,0.669073936801505
CCL-NMF1,92.9425051334702,-0.273990800274802,-0.198668709005693,-0.1338875551551,-0.0591990336023934,0.0656022111356735,0.204265454744913,0.342928698354152,0.542418464644926,0.607199618495518,0.682521709764628
CCL-NMF1,94.9425051334702,-0.276707317284184,-0.200105472651621,-0.134223660307195,-0.0582661500015484,0.068655519302879,0.20967470855046,0.350693897798041,0.553573077408115,0.619454889752541,0.696056734385104
CCL-NMF2,54.9425051334702,0.0287620252739397,0.0799875800420781,0.1240443831473,0.174839055558613,0.259714726025871,0.3540177579804,0.448320789934929,0.5839911328135,0.628047935918722,0.679273490686861
CCL-NMF2,56.9425051334702,0.0046563669909076,0.0610793209750503,0.109606174135468,0.165554527981032,0.259041774157739,0.36291289193517,0.466784009712601,0.616219609734872,0.664746462895289,0.721169416879432
CCL-NMF2,58.9425051334702,-0.0232721262513122,0.0389503960274455,0.0924651978710475,0.154164337100692,0.257260893506525,0.371808652594822,0.486356411683119,0.651152107318596,0.704666909162198,0.766889431440956
CCL-NMF2,60.9425051334702,-0.054472005380001,0.0140653622968366,0.0730112795593421,0.140972147037229,0.254531776795515,0.38070477000882,0.506877763222125,0.688398260458297,0.747344177720803,0.815881545397641
CCL-NMF2,62.9425051334702,-0.085177990070275,-0.0104035876858077,0.0539065235091644,0.128051963047345,0.251945741550992,0.389600724290762,0.527255707030532,0.72529492507236,0.789605036267332,0.864379438651799
CCL-NMF2,64.9425051334702,-0.109809280861028,-0.0297545919439548,0.0390968569712066,0.118478168055836,0.251120858342727,0.398496517254132,0.545872176165537,0.757896177537057,0.826747626452219,0.906802315369292
CCL-NMF2,66.9425051334702,-0.126534763878993,-0.0424447461511949,0.0298773081616752,0.113260004998796,0.25258883543422,0.407393281471644,0.562197727509069,0.784909254781613,0.857231309094484,0.941321326822281
CCL-NMF2,68.9425051334702,-0.137555906715944,-0.0503285023490155,0.024691877556438,0.111185570990543,0.255712740335453,0.416292918306341,0.576873096277229,0.807893959056244,0.882914338961698,0.970141743328627
CCL-NMF2,70.9425051334702,-0.144783554824647,-0.0550154583404689,0.0221900569503857,0.11120307153929,0.259939916072268,0.425197348804068,0.590454781535868,0.82820464065775,0.905410155948605,0.995178252432784
CCL-NMF2,72.9425051334702,-0.149321118033465,-0.0574351943803967,0.0215917691117123,0.112704796824037,0.264950671209536,0.434106890866846,0.603263110524155,0.846622012621979,0.925648976114088,1.01753489976716
CCL-NMF2,74.9425051334702,-0.149219886711431,-0.05594607933415,0.0242745407273673,0.116763778017811,0.271309238267364,0.443020464772057,0.614731691276749,0.861766388816745,0.941987008878263,1.03526081625554
CCL-NMF2,76.9425051334702,-0.140906150759943,-0.0475374256800656,0.0327648288420919,0.125348185437465,0.280050914918821,0.451936878957964,0.623822842997106,0.871108929073835,0.951411183595993,1.04477990867587
CCL-NMF2,78.9425051334702,-0.120626148893837,-0.0290468584098142,0.0497163836406169,0.140525357420433,0.292263171016194,0.460854898250342,0.629446625484489,0.871993412860066,0.950756654910498,1.04233594539452
