VarName,Age,centile_2.5,centile_50,centile_97.5
male_AF_left,0.1,9694.553005137424,15650.579502149956,19740.214611637617
male_AF_left,0.18998998998999,10740.698956040222,17344.043978878835,21877.84756473128
male_AF_left,0.27997997997998,11583.503859781928,18709.967664535463,23602.611372566706
male_AF_left,0.36996996996997,12297.05349705836,19867.78712036244,25065.09315544717
male_AF_left,0.45995995995996,12919.194122654524,20878.499570620028,26342.19316727511
male_AF_left,0.54994994994995,13472.339515435317,21778.22019262121,27479.43907552646
male_AF_left,0.63993993993994,13971.060435303278,22590.420795715723,28506.417870259025
male_AF_left,0.72992992992993,14425.460837387116,23331.37362619529,29443.63979741134
male_AF_left,0.81991991991992,14842.888174516744,24012.90873561757,30306.01492768396
male_AF_left,0.90990990990991,15228.883934329506,24643.946269249824,31104.78504576493
male_AF_left,0.9998998998999,15587.750135316996,25231.40956554948,31848.6748362633
male_AF_left,1.08988988988989,15922.905920515832,25780.799860843967,32544.61641613318
male_AF_left,1.1798798798798802,16237.122134333404,26296.574301801065,33198.22588081029
male_AF_left,1.26986986986987,16532.68133767299,26782.40377460801,33814.128329119325
male_AF_left,1.35985985985986,16811.490335702405,27241.35419787709,34396.18639744972
male_AF_left,1.44984984984985,17075.161388705525,27676.017346008157,34947.66516764727
male_AF_left,1.53983983983984,17325.072145506707,28088.60738546674,35471.353850737505
male_AF_left,1.6298298298298302,17562.410743135006,28481.03350963812,35969.65733997965
male_AF_left,1.71981981981982,17788.21032946979,28854.95553260992,36444.66628211404
male_AF_left,1.80980980980981,18003.37589286683,29211.827089523205,36898.211525970335
male_AF_left,1.8997997997998,18208.705396841357,29552.92966320824,37331.90700737097
male_AF_left,1.98978978978979,18404.906631907656,29879.39971240656,37747.18393862772
male_AF_left,2.07977977977978,18592.61080049691,30192.250538403798,38145.31836600728
male_AF_left,2.16976976976977,18772.3835776881,30492.390086658856,38527.45360354672
male_AF_left,2.2597597597597603,18944.734198729016,30780.635571017723,38894.61866206277
male_AF_left,2.34974974974975,19110.1229875302,31057.72558768522,39247.74351433909
male_AF_left,2.43973973973974,19268.967641284027,31324.33022656999,39587.671836336245
male_AF_left,2.52972972972973,19421.648513692733,31581.05957054259,39915.17171668633
male_AF_left,2.61971971971972,19568.51308529989,31828.470886170504,40230.94471709592
male_AF_left,2.7097097097097103,19709.87976885105,32067.074744141373,40535.633583901785
male_AF_left,2.7996996996997,19846.04116679241,32297.34025794651,40829.82884845321
male_AF_left,2.88968968968969,19977.266874383586,32519.69959133161,41114.07450601368
male_AF_left,2.97967967967968,20103.805903608107,32734.55185555953,41388.87292573885
male_AF_left,3.06966966966967,20225.888788781274,32942.26649452611,41654.68911529277
male_AF_left,3.15965965965966,20343.729423518165,33143.186237674,41911.95444085526
male_AF_left,3.24964964964965,20457.526669814702,33337.629686302214,42161.06988519055
male_AF_left,3.33963963963964,20567.46577287848,33525.89358741013,42402.4089120042
male_AF_left,3.42962962962963,20673.71960962912,33708.25484001072,42636.319993215264
male_AF_left,3.51961961961962,20776.449794163967,33884.97227140199,42863.12884638658
male_AF_left,3.60960960960961,20875.807659721668,34056.28821482863,43083.14042192201
male_AF_left,3.6995995995996,20971.93513359885,34222.42991501077,43296.64067339503
male_AF_left,3.78958958958959,21064.965518944296,34383.61078394338,43503.89813923926
male_AF_left,3.87957957957958,21155.0241952624,34540.031526001905,43705.16535978706
male_AF_left,3.96956956956957,21242.22924772085,34691.88114859348,43900.6801501187
male_AF_left,4.05955955955956,21326.6920339074,34839.33787226017,44090.666746244526
male_AF_left,4.149549549549549,21408.517695467024,34982.56995218715,44275.33683968039
male_AF_left,4.23953953953954,21487.80562102887,35121.73642142446,44454.89051340538
male_AF_left,4.3295295295295295,21564.6498659688,35256.98776474125,44629.51709043889
male_AF_left,4.41951951951952,21639.13953382384,35388.466530858066,44799.39590479585
