VarName,Age,centile_1,centile_2.5,centile_5,centile_10,centile_25,centile_50,centile_75,centile_95,centile_97.5,centile_99
CCL-NMF1,50.0068446269679,-0.235864160340914,-0.151442189694153,-0.0788346375578405,0.004877219985319,0.144756063528225,0.300171614059609,0.455587164590993,0.679177865677058,0.751785417813371,0.836207388460132
CCL-NMF1,51.0068446269679,-0.236099890198954,-0.151766329537155,-0.0792348148653007,0.0043893763510735,0.14412173330572,0.299374526602463,0.454627319899205,0.677983868070226,0.750515382742081,0.834848943403879
CCL-NMF1,52.0068446269679,-0.236343800710113,-0.152095276682353,-0.07963689820706,0.0039029716586047,0.143494431333351,0.29859067752283,0.453686923712309,0.676818253252719,0.749276631728012,0.833525155755773
CCL-NMF1,53.0068446269679,-0.23659182624915,-0.152424052885821,-0.0800351244367808,0.0034246739964641,0.142882337818431,0.297829927101749,0.452777516385067,0.675694978640279,0.748083907089319,0.832251680452649
CCL-NMF1,54.0068446269679,-0.236825419002128,-0.152735220544009,-0.0804130107930924,0.0029698652541413,0.142298995141806,0.297103773892411,0.451908552643017,0.674620558577915,0.746942768328832,0.831032966786951
CCL-NMF1,55.0068446269679,-0.237040594889024,-0.153025380995935,-0.0807676621076822,0.0025408601051455,0.141745747995619,0.296412484867243,0.451079221738866,0.673592631842167,0.74585035073042,0.829865564623509
CCL-NMF1,56.0068446269679,-0.237270282425098,-0.153325625991021,-0.0811285904100241,0.0021099678359332,0.141197949005391,0.295734794022411,0.450271639039432,0.672598178454847,0.744795214035844,0.828739870469921
CCL-NMF1,57.0068446269679,-0.237586531245713,-0.153707722146178,-0.081567318905543,0.0016059458789319,0.140584824537096,0.295000448743108,0.44941607294912,0.671568216391758,0.743708619632393,0.827587428731929
CCL-NMF1,58.0068446269679,-0.238108796785817,-0.154285981080506,-0.0821937352479403,0.0009240071292185,0.139810110279181,0.294122654159978,0.448435198040776,0.670439043567897,0.742531289400463,0.826354105105774
CCL-NMF1,59.0068446269679,-0.238972503531577,-0.155192124569253,-0.0831363766768011,-6.07140871234924e-05,0.138755075582978,0.292989496082817,0.447223916582655,0.669115368842434,0.741171116734887,0.82495149569721
CCL-NMF1,60.0068446269679,-0.240262704994115,-0.156520379840275,-0.0844973603224672,-0.0014594314527014,0.137293306825892,0.291457672652166,0.445622038478439,0.667412705626798,0.739435725144607,0.823178050298446
