url_path,views_total,views_unique
/CBICA/NiChart_Project,38,15
/CBICA/NiChart_Project/tree/main/src/viewer/utils,9,3
/CBICA/NiChart_Project/blob/main/Dockerfile,9,1
/CBICA/NiChart_Project/tree/main/src,8,3
/CBICA/NiChart_Project/tree/main/src/viewer,7,2
/CBICA/NiChart_Project/tree/main,5,3
/CBICA/NiChart_Project/tree/main/resources/pipelines/spare-ad,4,2
/CBICA/NiChart_Project/tree/main/resources,3,2
/CBICA/NiChart_Project/tree/main/resources/pipelines,3,2
/CBICA/NiChart_Project/blob/main/src/viewer/utils/utils_plots.py,3,1
