url_path,views_total,views_unique
/CBICA/NiChart_Project,35,17
/CBICA/NiChart_Project/tree/report-page/resources/images,9,1
/CBICA/NiChart_Project/pulse,2,2
/CBICA/NiChart_Project/blob/report-page/resources/images/sparead%2Bage.png,2,1
/CBICA/NiChart_Project/commit/9b270fb054c6975f7a24be3d56f26a83231054f0,2,1
/CBICA/NiChart_Project/tree/main/src,2,1
/CBICA/NiChart_Project/tree/main/src/examples,2,1
/CBICA/NiChart_Project/tree/report-page/resources,2,1
/CBICA/NiChart_Project/blob/5f04fda53f15704ccbfe2134b47cab05db801bf9/src/viewer/tmp/pages/home2.py,1,1
/CBICA/NiChart_Project/blob/main/Dockerfile,1,1
