time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-28 00:00:00+00:00,16,5,2.0,2.0
2025-10-29 00:00:00+00:00,8,3,,
2025-10-30 00:00:00+00:00,4,3,,
2025-10-31 00:00:00+00:00,4,4,2.0,2.0
2025-11-01 00:00:00+00:00,2,2,,
2025-11-02 00:00:00+00:00,7,2,3.0,3.0
2025-11-03 00:00:00+00:00,24,5,9.0,5.0
2025-11-04 00:00:00+00:00,15,12,1.0,1.0
2025-11-05 00:00:00+00:00,26,13,3.0,3.0
2025-11-06 00:00:00+00:00,27,10,1.0,1.0
2025-11-07 00:00:00+00:00,6,4,16.0,3.0
2025-11-08 00:00:00+00:00,16,6,7.0,5.0
2025-11-09 00:00:00+00:00,11,3,2.0,2.0
2025-11-10 00:00:00+00:00,20,14,13.0,3.0
