referrer,views_total,views_unique
github.com,82,8
neuroimagingchart.com,25,8
linkedin.com,22,17
Google,19,8
cbica.github.io,14,4
t.co,10,3
Bing,6,1
statics.teams.cdn.office.net,1,1
mail.nwu.edu.cn,1,1
