time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-03 00:00:00+00:00,276.0,116.0,19.0,4.0
2025-12-04 00:00:00+00:00,56.0,39.0,46.0,7.0
2025-12-05 00:00:00+00:00,46.0,42.0,,
2025-12-06 00:00:00+00:00,9.0,5.0,,
2025-12-07 00:00:00+00:00,9.0,5.0,,
2025-12-08 00:00:00+00:00,9.0,5.0,1.0,1.0
2025-12-09 00:00:00+00:00,140.0,87.0,19.0,3.0
2025-12-10 00:00:00+00:00,40.0,29.0,13.0,4.0
2025-12-11 00:00:00+00:00,17.0,13.0,21.0,2.0
2025-12-12 00:00:00+00:00,3.0,3.0,2.0,2.0
2025-12-13 00:00:00+00:00,4.0,4.0,24.0,2.0
2025-12-14 00:00:00+00:00,7.0,3.0,,
2025-12-15 00:00:00+00:00,3.0,3.0,1.0,1.0
2025-12-16 00:00:00+00:00,,,6.0,3.0
