time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-06 00:00:00+00:00,4.0,4.0,1.0,1.0
2025-07-07 00:00:00+00:00,5.0,4.0,42.0,4.0
2025-07-08 00:00:00+00:00,9.0,9.0,27.0,2.0
2025-07-09 00:00:00+00:00,7.0,7.0,23.0,2.0
2025-07-10 00:00:00+00:00,4.0,4.0,35.0,1.0
2025-07-11 00:00:00+00:00,10.0,10.0,,
2025-07-12 00:00:00+00:00,11.0,11.0,1.0,1.0
2025-07-13 00:00:00+00:00,13.0,13.0,1.0,1.0
2025-07-14 00:00:00+00:00,2.0,2.0,,
2025-07-15 00:00:00+00:00,6.0,6.0,15.0,2.0
2025-07-16 00:00:00+00:00,13.0,11.0,33.0,4.0
2025-07-17 00:00:00+00:00,5.0,4.0,8.0,2.0
2025-07-18 00:00:00+00:00,1.0,1.0,,
2025-07-19 00:00:00+00:00,,,2.0,1.0
