time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,42,25,1,1
2026-06-07 00:00:00+00:00,22,10,2,2
2026-06-08 00:00:00+00:00,42,18,0,0
2026-06-09 00:00:00+00:00,32,14,5,4
2026-06-10 00:00:00+00:00,33,17,0,0
2026-06-11 00:00:00+00:00,24,12,8,4
2026-06-12 00:00:00+00:00,20,7,7,2
2026-06-13 00:00:00+00:00,40,15,5,5
2026-06-14 00:00:00+00:00,37,12,5,5
2026-06-15 00:00:00+00:00,32,13,2,2
2026-06-16 00:00:00+00:00,32,10,2,2
2026-06-17 00:00:00+00:00,27,13,5,5
2026-06-18 00:00:00+00:00,62,23,39,10
2026-06-19 00:00:00+00:00,72,19,6,6
