referrer,views_total,views_unique
neuroimagingchart.com,47,9
github.com,38,6
Bing,21,15
neurostars.org,19,5
linkedin.com,15,7
lnkd.in,7,2
cbica.github.io,3,2
cn.bing.com,3,2
t.co,2,1
m.facebook.com,1,1
