url_path,views_total,views_unique
/CBICA/NiChart_Project,45,17
/CBICA/NiChart_Project/pulls,10,4
/CBICA/NiChart_Project/pull/84,4,3
/CBICA/NiChart_Project/issues,4,2
/CBICA/NiChart_Project/commits/main,3,1
/CBICA/NiChart_Project/compare/main...adicooks:NiChart_Project:main,3,1
/CBICA/NiChart_Project/discussions/72,2,2
/CBICA/NiChart_Project/tree/main/docs,2,2
/CBICA/NiChart_Project/blob/main/src/viewer/NiChartProject.py,2,1
/CBICA/NiChart_Project/commit/87a6c9adb94640ee30e804c9ad9c5110103dab63,2,1
