time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-26 00:00:00+00:00,28,3,,
2025-04-27 00:00:00+00:00,24,2,2.0,2.0
2025-04-28 00:00:00+00:00,28,3,6.0,2.0
2025-04-29 00:00:00+00:00,26,3,6.0,5.0
2025-04-30 00:00:00+00:00,28,3,4.0,3.0
2025-05-01 00:00:00+00:00,28,3,5.0,2.0
2025-05-02 00:00:00+00:00,26,3,2.0,2.0
2025-05-03 00:00:00+00:00,21,3,,
2025-05-04 00:00:00+00:00,1,1,2.0,2.0
2025-05-05 00:00:00+00:00,3,2,,
2025-05-06 00:00:00+00:00,1,1,,
2025-05-07 00:00:00+00:00,3,2,,
2025-05-08 00:00:00+00:00,5,4,,
2025-05-09 00:00:00+00:00,16,1,,
