time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-06 00:00:00+00:00,6,4,21,3
2025-03-07 00:00:00+00:00,1,1,6,1
2025-03-08 00:00:00+00:00,6,3,22,2
2025-03-09 00:00:00+00:00,1,1,3,1
2025-03-10 00:00:00+00:00,5,3,10,3
2025-03-11 00:00:00+00:00,6,3,52,5
2025-03-12 00:00:00+00:00,2,2,8,2
2025-03-13 00:00:00+00:00,4,3,37,4
2025-03-14 00:00:00+00:00,1,1,21,4
2025-03-15 00:00:00+00:00,2,2,1,1
2025-03-16 00:00:00+00:00,5,3,14,2
2025-03-17 00:00:00+00:00,7,5,10,2
2025-03-18 00:00:00+00:00,1,1,17,3
2025-03-19 00:00:00+00:00,6,2,7,4
