referrer,views_total,views_unique
github.com,59,7
neuroimagingchart.com,56,11
Bing,21,11
neurostars.org,15,4
linkedin.com,12,6
lnkd.in,4,1
Google,2,2
cn.bing.com,2,1
cbica.github.io,2,1
t.co,2,1
