url_path,views_total,views_unique
/CBICA/NiChart_Project,14,4
/CBICA/NiChart_Project/pulls,6,3
/CBICA/NiChart_Project/branches,5,2
/CBICA/NiChart_Project/tree/fix-guray-branch,4,2
/CBICA/NiChart_Project/tree/main/src/viewer,3,2
/CBICA/NiChart_Project/pull/133,3,1
/CBICA/NiChart_Project/tree/main/resources,3,1
/CBICA/NiChart_Project/blob/main/resources/reference_data/centiles/dlmuse_centiles_CN-Females.csv,2,1
/CBICA/NiChart_Project/blob/main/resources/reference_data/centiles/dlmuse_centiles_CN-Males.csv,2,1
/CBICA/NiChart_Project/tree/main/resources/reference_data,2,1
