url_path,views_total,views_unique
/CBICA/NiChart_Project,29,14
/CBICA/NiChart_Project/blob/main/INSTALLATION.md,13,5
/CBICA/NiChart_Project/blob/main/resources/dicts/muse/muse_dict.csv,6,3
/CBICA/NiChart_Project/issues,5,2
/CBICA/NiChart_Project/issues/88,2,2
/CBICA/NiChart_Project/tree/main/resources,2,2
/CBICA/NiChart_Project/blob/main/README.rst,2,1
/CBICA/NiChart_Project/tree/github-repo-stats/CBICA/NiChart_Project,2,1
/CBICA/NiChart_Project/blob/github-repo-stats/CBICA/NiChart_Project/ghrs-data/snapshots/2025-01-01_230058_top_paths_snapshot.csv,1,1
/CBICA/NiChart_Project/blob/github-repo-stats/CBICA/NiChart_Project/ghrs-data/views_clones_aggregate.csv,1,1
