time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-26 00:00:00+00:00,20,8,0,0
2026-04-27 00:00:00+00:00,25,9,14,14
2026-04-28 00:00:00+00:00,20,6,13,3
2026-04-29 00:00:00+00:00,16,4,5,1
2026-04-30 00:00:00+00:00,20,5,12,1
2026-05-01 00:00:00+00:00,49,12,5,2
2026-05-02 00:00:00+00:00,43,11,0,0
2026-05-03 00:00:00+00:00,39,13,7,2
2026-05-04 00:00:00+00:00,31,10,9,1
2026-05-05 00:00:00+00:00,22,7,6,3
2026-05-06 00:00:00+00:00,16,7,12,3
2026-05-07 00:00:00+00:00,11,5,0,0
2026-05-08 00:00:00+00:00,36,11,12,4
2026-05-09 00:00:00+00:00,10,5,7,6
