url_path,views_total,views_unique
/CBICA/NiChart_Project,44,16
/CBICA/NiChart_Project/blob/main/src/workflows/w_sMRI/w_mlscores.py,5,2
/CBICA/NiChart_Project/tree/main/src,4,2
/CBICA/NiChart_Project/issues,4,1
/CBICA/NiChart_Project/tree/ag-dev,4,1
/CBICA/NiChart_Project/blob/main/src/viewer/NiChartProject.py,3,2
/CBICA/NiChart_Project/pulls,3,2
/CBICA/NiChart_Project/tree/main/src/viewer,3,2
/CBICA/NiChart_Project/blob/main/src/viewer/pages/workflow_sMRI_MLScores.py,3,1
/CBICA/NiChart_Project/commits/main,3,1
