url_path,views_total,views_unique
/CBICA/NiChart_Project,30,13
/CBICA/NiChart_Project/forks,3,2
/CBICA/NiChart_Project/graphs/commit-activity,3,2
/CBICA/NiChart_Project/issues,3,2
/CBICA/NiChart_Project/pulls,3,2
/CBICA/NiChart_Project/blob/main/INSTALLATION.md,2,2
/CBICA/NiChart_Project/blob/6f81fd72b283c5154a9249efc4132a726512481f/test_data/processed/IXI_n1/lists/Demog.csv,1,1
/CBICA/NiChart_Project/blob/7617dd18c07950cb5e7e16368232eab8daa18b3b/output_folder/NiChart_sMRI_Demo1/Dicoms/trio_b17/gre_field_mapping_3/00026.dcm,1,1
/CBICA/NiChart_Project/blob/8bc9658efb160d3e9f985e012927449dfbcffa03/.gitignore,1,1
/CBICA/NiChart_Project/blob/8bc9658efb160d3e9f985e012927449dfbcffa03/README.md,1,1
