url_path,views_total,views_unique
/CBICA/NiChart_Project,12,10
/CBICA/NiChart_Project/blob/main/Dockerfile,1,1
/CBICA/NiChart_Project/blob/main/resources/pipelines/run_bascores.yaml,1,1
/CBICA/NiChart_Project/blob/main/resources/tools/binarize_seg_to_mask.yaml,1,1
/CBICA/NiChart_Project/blob/main/resources/tools/dlicv_to_mni.yaml,1,1
/CBICA/NiChart_Project/blob/main/resources/tools/nichart_dlmuse.yaml,1,1
/CBICA/NiChart_Project/commits/03c20462a4172199348dce956baae6704a11f9f2/TestData/dicoms/example-dicom-structural/dicoms/N2D_0146.dcm,1,1
/CBICA/NiChart_Project/commits/03c20462a4172199348dce956baae6704a11f9f2/TestData/dicoms/example-dicom-structural/dicoms/N2D_0230.dcm,1,1
/CBICA/NiChart_Project/forks,1,1
/CBICA/NiChart_Project/pull/35/commits/7e8bec6ae433dab10f3d3e5e48a890c56b125a05,1,1
