url_path,views_total,views_unique
/CBICA/NiChart_Project,28,13
/CBICA/NiChart_Project/tree/main/test_data/processed,11,1
/CBICA/NiChart_Project/tree/main/test_data,10,1
/CBICA/NiChart_Project/tree/main/test_data/processed/IXI,8,1
/CBICA/NiChart_Project/blob/main/test_data/README.md,3,1
/CBICA/NiChart_Project/tree/main/test_data/dicoms,3,1
/CBICA/NiChart_Project/tree/main/test_data/processed/IXI/DLMUSE,3,1
/CBICA/NiChart_Project/tree/main/test_data/processed/IXI/Lists,3,1
/CBICA/NiChart_Project/tree/generic-pipeline-def,2,2
/CBICA/NiChart_Project/blob/main/test_data/processed/IXI/DLMUSE/DLMUSE_Volumes.csv,2,1
