time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-01 00:00:00+00:00,28.0,3.0,5.0,2.0
2025-05-02 00:00:00+00:00,26.0,3.0,2.0,2.0
2025-05-03 00:00:00+00:00,21.0,3.0,,
2025-05-04 00:00:00+00:00,1.0,1.0,2.0,2.0
2025-05-05 00:00:00+00:00,3.0,2.0,,
2025-05-06 00:00:00+00:00,1.0,1.0,,
2025-05-07 00:00:00+00:00,3.0,2.0,,
2025-05-08 00:00:00+00:00,5.0,4.0,,
2025-05-09 00:00:00+00:00,18.0,3.0,,
2025-05-10 00:00:00+00:00,4.0,2.0,1.0,1.0
2025-05-11 00:00:00+00:00,21.0,3.0,1.0,1.0
2025-05-12 00:00:00+00:00,19.0,4.0,,
2025-05-13 00:00:00+00:00,17.0,2.0,,
2025-05-14 00:00:00+00:00,,,9.0,2.0
