Index,Code,Name
319,MUSE_319,Frontal_Medial_GM_L
320,MUSE_320,Frontal_Opercular_GM_L
321,MUSE_321,Limbic_Cingulate_GM_L
322,MUSE_322,Limbic_MedialTemporal_GM_L
323,MUSE_323,Occipital_Inferior_GM_L
324,MUSE_324,Occipital_Lateral_GM_L
325,MUSE_325,Occipital_Medial_GM_L
326,MUSE_326,Parietal_Lateral_GM_L
327,MUSE_327,Parietal_Medial_GM_L
328,MUSE_328,Temporal_Inferior_GM_L
329,MUSE_329,Temporal_Lateral_GM_L
330,MUSE_330,Temporal_Supratemporal_GM_L
331,MUSE_331,Frontal_Inferior_GM_R
332,MUSE_332,Frontal_Insular_GM_R
333,MUSE_333,Frontal_Lateral_GM_R
334,MUSE_334,Frontal_Medial_GM_R
335,MUSE_335,Frontal_Opercular_GM_R
336,MUSE_336,Limbic_Cingulate_GM_R
337,MUSE_337,Limbic_MedialTemporal_GM_R
338,MUSE_338,Occipital_Inferior_GM_R
339,MUSE_339,Occipital_Lateral_GM_R
340,MUSE_340,Occipital_Medial_GM_R
341,MUSE_341,Parietal_Lateral_GM_R
342,MUSE_342,Parietal_Medial_GM_R
343,MUSE_343,Temporal_Inferior_GM_R
344,MUSE_344,Temporal_Lateral_GM_R
345,MUSE_345,Temporal_Supratemporal_GM_R
1,MUSE_1,CortCSF
4,MUSE_4,3rdVentricle
11,MUSE_11,4thVentricle
23,MUSE_23,AccumbensArea_R
30,MUSE_30,AccumbensArea_L
31,MUSE_31,Amygdala_R
32,MUSE_32,Amygdala_L
35,MUSE_35,BrainStem
36,MUSE_36,Caudate_R
37,MUSE_37,Caudate_L
38,MUSE_38,CerebellumExterior_R
39,MUSE_39,CerebellumExterior_L
40,MUSE_40,Cerebellum_WM_R
41,MUSE_41,Cerebellum_WM_L
47,MUSE_47,Hippocampus_R
48,MUSE_48,Hippocampus_L
49,MUSE_49,InfLatVentricle_R
50,MUSE_50,InfLatVentricle_L
51,MUSE_51,LateralVentricle_R
52,MUSE_52,LateralVentricle_L
55,MUSE_55,Pallidum_R
56,MUSE_56,Pallidum_L
57,MUSE_57,Putamen_R
58,MUSE_58,Putamen_L
59,MUSE_59,ThalamusProper_R
60,MUSE_60,ThalamusProper_L
61,MUSE_61,VentralDC_R
62,MUSE_62,VentralDC_L
71,MUSE_71,CerebellarVermalLobules_1to5
72,MUSE_72,CerebellarVermalLobules_6to7
73,MUSE_73,CerebellarVermalLobules_8to10
75,MUSE_75,BasalForebrain_L
76,MUSE_76,BasalForebrain_R
81,MUSE_81,Frontal_WM_R
82,MUSE_82,Frontal_WM_L
83,MUSE_83,Occipital_WM_R
84,MUSE_84,Occipital_WM_L
85,MUSE_85,Parietal_WM_R
86,MUSE_86,Parietal_WM_L
87,MUSE_87,Temporal_WM_R
88,MUSE_88,Temporal_WM_L
89,MUSE_89,Fornix_R
90,MUSE_90,Fornix_L
91,MUSE_91,AnteriorLimbInternalCapsule_R
92,MUSE_92,AnteriorLimbInternalCapsule_L
93,MUSE_93,PosteriorLimbInternalCapsule_R
94,MUSE_94,PosteriorLimbInternalCapsule_L
95,MUSE_95,CorpCall
100,MUSE_100,AnteriorCingulateGyrus_R
101,MUSE_101,AnteriorCingulateGyrus_L
102,MUSE_102,AnteriorInsula_R
103,MUSE_103,AnteriorInsula_L
104,MUSE_104,AnteriorOrbitalGyrus_R
105,MUSE_105,AnteriorOrbitalGyrus_L
106,MUSE_106,AngularGyrus_R
107,MUSE_107,AngularGyrus_L
108,MUSE_108,CalcarineCortex_R
109,MUSE_109,CalcarineCortex_L
112,MUSE_112,CentralOperculum_R
113,MUSE_113,CentralOperculum_L
114,MUSE_114,Cuneus_R
115,MUSE_115,Cuneus_L
116,MUSE_116,EntorhinalArea_R
117,MUSE_117,EntorhinalArea_L
118,MUSE_118,FrontalOperculum_R
119,MUSE_119,FrontalOperculum_L
120,MUSE_120,FrontalPole_R
121,MUSE_121,FrontalPole_L
122,MUSE_122,FusiformGyrus_R
123,MUSE_123,FusiformGyrus_L
124,MUSE_124,GyrusRectus_R
125,MUSE_125,GyrusRectus_L
128,MUSE_128,InferiorOccipitalGyrus_R
129,MUSE_129,InferiorOccipitalGyrus_L
132,MUSE_132,InferiorTemporalGyrus_R
133,MUSE_133,InferiorTemporalGyrus_L
134,MUSE_134,LingualGyrus_R
135,MUSE_135,LingualGyrus_L
136,MUSE_136,LateralOrbitalGyrus_R
137,MUSE_137,LateralOrbitalGyrus_L
138,MUSE_138,MiddleCingulateGyrus_R
139,MUSE_139,MiddleCingulateGyrus_L
140,MUSE_140,MedialFrontalCortex_R
