,Unnamed: 0,ROI_Name,Age,centile_5,centile_10,centile_25,centile_50,centile_75,centile_90,centile_95
0,0,SPARE_BA,40.0,24.260666774479,27.7607621178889,33.1793380613903,38.974078451752,45.0673035532289,51.3712910034789,55.8151236238081
1,1,SPARE_BA,41.0,25.1868141706649,28.6403708456065,34.0268518031067,39.8166860148136,45.889598199487,52.1064226899092,56.4316626174552
2,2,SPARE_BA,42.0,26.1207170990559,29.5325442612005,34.890966285162,40.6773783018924,46.7323051337073,52.8703437157463,57.089333210043
3,3,SPARE_BA,43.0,27.0639071171292,30.4381794315006,35.7720079324092,41.5562616937865,47.5952121684117,53.6616412497099,57.784818128737
4,4,SPARE_BA,44.0,28.0174243109546,31.3577755667284,36.6699747611623,42.4531068382738,48.477782865475,54.4787803373801,58.5150599666688
5,5,SPARE_BA,45.0,28.9819765413542,32.2915945448463,37.5847081156719,43.3675461863421,49.3793764216182,55.3203046919114,59.2773901414824
6,6,SPARE_BA,46.0,29.9573490385291,33.2392825593842,38.5156892350962,44.2989306490529,50.2991664500665,56.1849422799767,60.0698562839522
7,7,SPARE_BA,47.0,30.9424723718819,34.1998638408898,39.4619669567365,45.2462277103096,51.2360035828894,57.071362879065,60.890827841436
8,8,SPARE_BA,48.0,31.9365273637019,35.1725226233821,40.4226860801485,46.2084897971057,52.1888148303764,57.9782595330326,61.7386344452502
9,9,SPARE_BA,49.0,32.9395544346646,36.1573884638136,41.3980827002844,47.1860231984867,53.1579523721088,58.9059321247101,62.6133578062594
10,10,SPARE_BA,50.0,33.9521904516962,37.1551301869432,42.3889095959318,48.1796814839183,54.1443479690004,59.855245587465,63.5156076925851
11,11,SPARE_BA,51.0,34.9753409047906,38.166471856538,43.3957706376368,49.1900616276287,55.1485653928051,60.8264797246135,64.4451861509394
12,12,SPARE_BA,52.0,36.0099364660822,39.1919588869142,44.4188817762478,50.2172451781776,56.1705225818309,61.8190525149548,65.4008308064646
13,13,SPARE_BA,53.0,37.0566448769561,40.2318781622995,45.4581861426998,51.2610115152601,57.2098084622321,62.8320594472026,66.38100398868
14,14,SPARE_BA,54.0,38.1145164118254,41.2847885913072,46.5116990221158,52.3189791996271,58.2636156617931,63.8620048180705,67.3814898473257
15,15,SPARE_BA,55.0,39.1815042876502,42.3481208177937,47.5762256036386,53.3874444892482,59.327703981174,64.9038938914447,68.3965738867659
16,16,SPARE_BA,56.0,40.2558297635582,43.4197061421959,48.6491304117564,54.4633933289236,60.3986606590591,65.9537492951039,69.4217372478042
17,17,SPARE_BA,57.0,41.336975554184,44.4988608957854,49.7295592009585,55.5458647086813,61.4754066782113,67.010257440792,70.4553940735513
18,18,SPARE_BA,58.0,42.4246438619959,45.585160934051,50.8169701533064,56.634259048197,62.5572755384989,68.072580405226,71.4964906253099
19,19,SPARE_BA,59.0,43.5194167987559,46.6791633469894,51.9119467789341,57.729243872784,63.6450129429985,69.1414499760365,72.5456631302011
20,20,SPARE_BA,60.0,44.6225728820457,47.7821915647659,53.0159377099695,58.8324481750276,64.7404239859155,70.2187637888581,73.6047956396472
21,21,SPARE_BA,61.0,45.7351029476323,48.8952447787081,54.1300114177984,59.9450624608554,65.8448155281918,71.3058635246829,74.67518098024
22,22,SPARE_BA,62.0,46.8567769783253,50.0179780970928,55.2537109487304,61.0665688836221,66.9576003371467,72.4020091234365,75.7559030371331
23,23,SPARE_BA,63.0,47.987092986246,51.149782871008,56.3863129248529,62.1961674666074,68.0778939008096,73.5061648728093,76.8457660223052
24,24,SPARE_BA,64.0,49.1267883849092,52.2913693452105,57.5285468465762,63.3346618737611,69.2065684497842,74.6191937816634,77.9455621277706
25,25,SPARE_BA,65.0,50.2778134355128,53.4447369723736,58.6825547875421,64.4844025707007,70.3461786416421,75.7437701494248,79.0579786303893
26,26,SPARE_BA,66.0,51.4419331375962,54.6117193394201,59.8503165144468,65.6475585211969,71.4990778588903,76.882371277706,80.1855288042567
27,27,SPARE_BA,67.0,52.6196502238756,55.7928541246936,61.0324246577035,66.8247819997738,72.6659718401845,78.0357337823272,81.3289524024948
28,28,SPARE_BA,68.0,53.8109718697787,56.9881908372017,62.2289688533681,68.0161845628624,73.8469877007472,79.2040015433197,82.4884060299616
29,29,SPARE_BA,69.0,55.0120666424104,58.1937598548762,63.4356933382051,69.2171499798149,75.037140022692,80.3818742003338,83.658417604133
30,30,SPARE_BA,70.0,56.2143048738209,59.4005856266069,64.6429637882019,70.4172496694058,76.2251961433644,81.5574291096143,84.8266835343216
31,31,SPARE_BA,71.0,57.4091752161564,60.5999012253809,65.8414742391597,71.6064945213467,77.4004771986902,82.7194259214109,85.9816811359711
32,32,SPARE_BA,72.0,58.5938569799178,61.7890210549342,67.0286111282931,72.7822377573243,78.5603013787359,83.8652451003143,87.120910790943
33,33,SPARE_BA,73.0,59.7674831499672,62.9673866069616,68.204128092846,73.9444304825046,79.7048161265239,84.9953380523147,88.2451183454878
34,34,SPARE_BA,74.0,60.9278740603445,64.1330782037437,69.3663194383504,75.0914447922405,80.8324689972284,86.1083541104303,89.3531942536035
35,35,SPARE_BA,75.0,62.0708168930421,65.2820289145394,70.5111510129126,76.2191338051318,81.938997160288,87.2000476367593,90.4410154139761
36,36,SPARE_BA,76.0,63.1913484182693,66.4094351852791,71.6338434153777,77.3225760778539,83.0193339749205,88.2653600642864,91.5036581525709
37,37,SPARE_BA,77.0,64.2819343210547,67.5077486664476,72.7266266147447,78.3936260357334,84.0649551107931,89.2955281771415,92.5323179588764
